"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.46265758971835e-22,1.684655059575,0.25,0.088,3.26479800601033e-18,"8","CST6"
1.46969458145246e-22,0.682373008394064,0.807,0.55,3.28050527526003e-18,"8","GDI2"
1.53859433207184e-22,0.634822882306107,0.81,0.534,3.43429640861754e-18,"8","EIF3H"
1.64683873399028e-22,1.13014714030026,0.472,0.238,3.67590873813971e-18,"8","TES"
1.65011183432491e-22,0.694387446635008,0.677,0.411,3.68321462539663e-18,"8","STAT2"
1.75476493079015e-22,1.6552931272132,0.285,0.11,3.9168108020167e-18,"8","C15orf39"
2.02417370111698e-22,1.02949485064449,0.418,0.194,4.51815811826322e-18,"8","MARCKSL1"
2.13031303717245e-22,0.410495615376604,0.975,0.832,4.75507173027262e-18,"8","RPL21"
2.13850525197282e-22,0.617205790986169,0.845,0.587,4.77335757292854e-18,"8","COX7A2"
2.19904024042059e-22,0.554264894831853,0.427,0.188,4.9084777206428e-18,"8","LGALS2"
2.26433298035446e-22,0.567558476626268,0.921,0.703,5.0542176454492e-18,"8","SPI1"
2.58320566937297e-22,1.17484802997745,0.386,0.173,5.7659733746074e-18,"8","IQSEC1"
2.88060455154816e-22,0.642404418914059,0.88,0.684,6.42979741951064e-18,"8","CAP1"
2.97139656425029e-22,0.600643866591458,0.886,0.657,6.63245427106308e-18,"8","ACTR3"
3.6927297987555e-22,0.674301708647051,0.766,0.5,8.24254218380215e-18,"8","ATP1B3"
3.79877903620581e-22,0.890170105698297,0.345,0.14,8.47925468671498e-18,"8","CXCL9"
5.03864386523647e-22,0.438814423406887,0.946,0.749,1.12467569715943e-17,"8","EEF1D"
5.76869905320907e-22,0.411131151486465,0.994,0.94,1.2876313156668e-17,"8","RPS24"
